host,name,original_counties,observed_local_items,observed_total_items,status,reason
addisonindependent.com,Addison Independent,vermont/addison,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
1440wrok.com,WROK 1440 AM / 96.1 FM,indiana/madison,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
aljazeera.com,Al Jazeera English,georgia/spalding,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
advocate.com,advocate,virginia/king-george,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
alaska-native-news.com,Alaska Native News,alaska/skagway,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
48hills.org,48 Hills,wisconsin/wood,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
almanacnews.com,Almanac Online,california/imperial,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
americanbazaaronline.com,The American Bazaar,south-carolina/chester,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
arizonadailyindependent.com,arizonadailyindependent,arizona/yuma,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
attackofthefanboy.com,Attack of the Fanboy,georgia/polk,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
allongeorgia.com,AllOnGeorgia,georgia/henry,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
aroundosceola.com,Osceola News Gazette,florida/osceola,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
bankingdive.com,Banking Dive,florida/madison,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
americanbanker.com,American Banker,missouri/franklin,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
aviationpros.com,Aviation Pros,virginia/manassas,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
bbcmag.com,Broadband Communities,indiana/allen,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
25newsnow.com,25 News Now,illinois/tazewell,1,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
atmoreadvance.com,The Atmore Advance,alabama/escambia,5,15,held,HTTP 403
bendsource.com,The Source Weekly,oregon/deschutes,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
boereport.com,BOE Report,wisconsin/iron,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
berksweekly.com,Berks Weekly,pennsylvania/berks,2,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
buckrail.com,Buckrail,idaho/teton,1,15,approved,"Jackson Hole newsroom in Teton County, Wyoming. Idaho search observation is not sufficient to approve a separate county listing."
baltimorebrew.com,Baltimore Brew,maryland/baltimore,3,10,held,HTTP 502
carsonnow.org,Carson Now,nevada/storey,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
bupipedream.com,Pipe Dream,new-york/broome,7,15,approved,"Binghamton University student newspaper, located in Broome County, New York."
chapelboro.com,Chapelboro,north-carolina/chatham,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
catcountry1073.com,Cat Country 107.3,new-jersey/cumberland,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
circleofblue.org,Circle of Blue,michigan/gratiot,0,12,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
brobible.com,BroBible,mississippi/choctaw,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
claiborneprogress.net,Claiborne Progress,tennessee/campbell,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
capjournal.com,The Capital Journal,south-dakota/stanley,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cjr.org,Cjr,ohio/athens,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cals.ncsu.edu,College of Agriculture and Life Sciences,north-carolina/person,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
clackamas.us,Clackamas County,oregon/clackamas,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cnyhomepage.com,CNYhomepage,new-york/otsego,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cointelegraph.com,Cointelegraph,tennessee/hawkins,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
clermontsun.com,The Clermont Sun,ohio/clermont,3,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
communitynewspapers.com,Miami Community Newspapers,florida/broward,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
conservativebrief.com,conservativebrief,georgia/gwinnett,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
coolcleveland.com,CoolCleveland,ohio/geauga,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
county17.com,County 17,wyoming/campbell,6,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
cryptobriefing.com,Crypto Briefing,georgia/columbia,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
crooksandliars.com,Crooks and Liars,texas/tarrant,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
danvillesanramon.com,Danvillesanramon,california/alameda,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
denofgeek.com,Den Of Geek,california/yuba,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
cobbcountycourier.com,Cobb County Courier,georgia/cobb,1,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
duboiscountyfreepress.com,Dubois County Free Press,indiana/dubois,4,10,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
drgnews.com,DRGNews,south-dakota/stanley,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
dnews.com,Moscow-Pullman Daily News,idaho/valley,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
dailyillini.com,The Daily Illini,illinois/champaign,2,15,approved,Publisher masthead/service area and observed local reporting support the listed canonical counties; cities were resolved within their state. Directory approval does not grant county-tier trust.
edgarcountywatchdogs.com,Edgar County Watchdogs,illinois/whiteside,1,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
crawfordcountynow.com,crawfordcountynow,ohio/crawford,2,15,approved,"Publisher explicitly describes Bucyrus and Crawford County, Ohio reporting and its WQEL/WBCO radio services."
edsource.org,EdSource,california/marin,0,15,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
effinghamradio.com,Effingham Radio,illinois/douglas,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
elkhornmediagroup.com,Elkhorn Media Group,oregon/deschutes,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
fcfreepresspa.com,Franklin County Free Press,pennsylvania/adams,0,10,pending,Needs current publisher identity and county service-area review; raw search matches alone are insufficient.
